id;caregiver_id;care_type_code;proficiency_level;years_experience;is_certified;created_at;updated_at
4417c828-05e1-46f7-afaf-bce09fbdd325;d4c4bfa4-e8ba-4223-8902-91a9d3a9c2fc;CS002;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
01b5aae6-f440-472e-93eb-d206a4bb8933;c5ea6495-442d-4f6d-a659-723470c46236;CS011;expert;10;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
9e46f715-39cf-49b2-88d9-624d52b2dbba;c5ea6495-442d-4f6d-a659-723470c46236;CS004;expert;9;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
d0e9f3fc-0f41-4706-8e0d-209d90b983ac;c5ea6495-442d-4f6d-a659-723470c46236;CS001;advanced;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
37766d96-9318-4e59-8000-0d8fc9732b21;3b3ae194-b792-47da-a281-d41e35d8348d;CS006;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
f85dea56-7bd3-4b33-90d4-83fb48de866d;3b3ae194-b792-47da-a281-d41e35d8348d;CS015;advanced;5;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
e5d98b19-296b-42cb-99dc-d5611c7e11f9;3b3ae194-b792-47da-a281-d41e35d8348d;CS001;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
fc475ee0-b604-463d-a405-e1f52c578802;3b3ae194-b792-47da-a281-d41e35d8348d;CS007;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
8734f9ad-efe0-4ab5-a4d0-85b709c51701;a5217ac4-75a8-4ecb-bff5-2fb6808f1ef8;CS003;expert;8;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
1c156c64-5513-431c-9c56-4386956e3ae2;a5217ac4-75a8-4ecb-bff5-2fb6808f1ef8;CS009;expert;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
f3df5a5e-6952-4153-9360-8fb5ff15b8fd;a5217ac4-75a8-4ecb-bff5-2fb6808f1ef8;CS016;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
8c73ed64-f00d-40b0-b84e-fdf0e66421be;ea8b8458-33e6-46ae-8d84-114aaba41661;CS001;advanced;5;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
75243381-fc91-45b4-b8df-a97ccee4ab1d;ea8b8458-33e6-46ae-8d84-114aaba41661;CS002;advanced;5;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
4ed7672c-71e3-44ed-9c94-a0ac6e059125;ea8b8458-33e6-46ae-8d84-114aaba41661;CS005;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
580ee0e9-4715-421c-a71e-08930fe82e05;92b8196c-d58e-4ad7-ad96-06de611114b7;CS017;expert;9;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
f3b2a150-af92-453a-be2a-fd65c6c88f54;92b8196c-d58e-4ad7-ad96-06de611114b7;CS009;advanced;7;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
e7160f46-f278-472f-9155-893875850ba5;92b8196c-d58e-4ad7-ad96-06de611114b7;CS003;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
a998f882-4127-43db-a49d-53db43dfc548;3d9fdcc2-46c2-4056-b3a1-f4006ec8cdd6;CS004;expert;11;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
75551837-d7e6-4c02-bb7f-01f79bc79d87;3d9fdcc2-46c2-4056-b3a1-f4006ec8cdd6;CS008;expert;10;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
2547c52c-939e-4672-90a9-7f37e2e35c8d;3d9fdcc2-46c2-4056-b3a1-f4006ec8cdd6;CS014;advanced;8;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
07f086d1-8c35-4674-8516-8272735b39be;373ba156-2b50-4f19-bc9b-78c48b699854;CS001;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
3c2a5614-c988-4e82-9fa1-9d5c635cc27c;373ba156-2b50-4f19-bc9b-78c48b699854;CS002;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
1ace1e3c-395e-4146-acfc-0d01522d903c;373ba156-2b50-4f19-bc9b-78c48b699854;CS007;beginner;2;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
d7b0335b-84dc-454c-8325-56e96e5ccbd0;efcc4a22-eacc-4678-b12d-8cfe2986b5f8;CS006;expert;12;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
c3bd6291-8622-47a3-a0f9-352d49058976;efcc4a22-eacc-4678-b12d-8cfe2986b5f8;CS015;expert;11;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
56af29c0-0a3c-4961-9987-7b3f61362a23;efcc4a22-eacc-4678-b12d-8cfe2986b5f8;CS001;advanced;9;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
ce74f9ba-83fd-411b-b2ae-06e429adf85f;efcc4a22-eacc-4678-b12d-8cfe2986b5f8;CS007;advanced;8;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
5a1e91fc-8657-4688-b6ea-935f81f8d891;e19115c8-74d5-467f-be45-624b25aa77bc;CS010;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
74214a37-c92c-4573-8ec0-2fff675629da;e19115c8-74d5-467f-be45-624b25aa77bc;CS005;intermediate;3;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
700a527e-c71a-40e4-904f-69f19e9168c2;e19115c8-74d5-467f-be45-624b25aa77bc;CS007;beginner;2;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
2d0f9d5f-5ec0-4613-992c-1dfcb4b09529;a5200e37-f734-4cd9-9b46-29e1d2721c82;CS011;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
1f7b297e-8ac6-4c7c-81ab-595c93b8d322;a5200e37-f734-4cd9-9b46-29e1d2721c82;CS001;advanced;6;true;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
aac09006-4e68-4144-87a2-a498228c5f2e;a5200e37-f734-4cd9-9b46-29e1d2721c82;CS004;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
c2206c8c-01b4-4cb4-8c4f-f699a0a76272;f50559ac-34a0-41ae-8fc1-78ee4558313b;CS019;advanced;5;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
3eb53e82-e730-4419-b753-06e056836720;f50559ac-34a0-41ae-8fc1-78ee4558313b;CS001;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
4cff3c61-3ac6-4551-b841-c34e7f9fc053;f50559ac-34a0-41ae-8fc1-78ee4558313b;CS007;intermediate;4;false;2025-11-08 00:11:51.994425+00;2025-11-08 00:11:51.994425+00
